question,answer
How can I implement a Kalman Filter in python?,The `pykalman` package implements both a linear kalman filter as well as a nonlinear unscented kalman filter.
When do I do `train_test_split()`?,After data cleaning and before spliting your columns into `X` and `y` to fit a model.
Where can I find 311 call logs for New York City?,The JSON REST API is located at [](https://data.cityofnewyork.us/resource/erm2-nwe9.json)
What kind of data science variable is a Amazon store star-rating for products like 5-stars and 2-stars?,"Ordinal, because it's a categorical variable with a natural order to it."
What is a CDG (clinical decision guidelines)?,An example is the _Schmitt-Thompson Nurse Triage Guidelines_ a manual for
What's a good way to sample a large CSV file for machine learning?,"Create a skip_rows list of integers that skips 99% of the rows. `skip_rows = np.random.sample(range(1, n + 1))`"
What is a CDG (clinical decision guidelines)?,An example is the _Schmitt-Thompson Nurse Triage Guidelines_ a manual for nurse triage decisions.
What do I need to create a natural language pipeline for sentiment analysis like predicting hate-speech?,You need a collection of texts labeled with whether or not each text represents hateful speech.
Can I use a collection of YouTube comments to build a sentiment analyzer?,Only if you have a numerical or categorical rating for the sentiment for each comment.
"How can I count the number of records for a particular group of data, like the `country` column in a pandas DataFrame?","`[(country, len(group)) for country, group df.groupby('country')]"
What is a CDF (Cumulative Distribution Function) used for?,To estimate the probability or confidence interval for a range of values.
How to reduce overfitting and improve test set accuracy for a LogisticRegression model?,"Decrease the C value, this increases the regularization strength."
