,question,answer
29,How do I type the eñe character on a Mac or PC?,On a Mac press [option]-[~] then [n]. On a PC type [ctrl]-[~]-[n] and then [n].
30,How do I type the accented e character (as in resumè) on a Mac or PC?,On a Mac type [option]-[`] then [e]. On a PC type [ctrl]-[`]-[e] simultaneously.
31,How can I put my Google Slides on GitHub with my code?,"You need to download it as a file that others can use, like an `.odp` Open Office Presentation file."
32,What is the difference between a null value in pandas (`df.isnull()`) and a nan value (`df.isna()`)?,Null values include both `np.nan` and empty strings like ''.
33,When I try `df.dtype` it returns an AttributeError. How can I find the data type within a DataFrame?,Try: `df.values.dtype`.
34,What is a spacy `Doc.vector`?,Spacy `Doc.vector` represents the average of the word2vec vectors for all the words in a document.
35,Is a `LogisticRegression` more likely or less likely to overfit to your data when compared to a `DecisionTree`?,A `LogisticRegression` will be less likely to overfit than a `DecisionTree` in most situations.
36,What's a good label for my vertical axis when I've taken the home prices in dollars and divided them by 1000000?,I'd suggest 'Home Price ($M)'.
37,Is it necessary to know command line `git`?,It helps when you're interacting with developers on a shared software project.
38,Is the global happiness index dataset on Kaggle a good data science project to start with?,No. It doesn't have very many records and all of the columns are likely directly used to compute the happiness index.
39,How can I delete security credentials and large data files from my git repository history?,Check out the `bfg` package: `conda install bfg`.
40,What is Ocam's razor?,The idea that the simplest explanation is usually the correct one.
41,What do I need to measure training set accuracy for if I already calculate test set accuracy?,So you can see if your model is overfitting and use regularization hyperparameters appropriately.
42,Where can I learn about mechanistic or deterministic models and how they compare to data science models?,http://www.thetalkingmachines.com/episodes/talking-machines-live-and-understanding-modeling-viruses
43,How do you use a trained linear regression model to select only the 10 most powerful features in an ML model?,"X[list(pd.Series(model.coef_.abs(), index=X.columns).sort_values().index.values[-10:])]"
44,What about python programming. Have you ever written a function definition in python?,"Yes, I took a basic python programming course online."
45,What is the python keyword that you use at the start of line of code to define a new function?,def
46,Who invented the Perceptron?,Frank Rosenblatt  #wiki/Perceptron
47,Where did Frank Rosenblatt go to college?,Cornell University  #wiki/Perceptron
48,When was the perceptron invented?,1960  #wiki/Perceptron
49,How can I create a test set for a recommendation engine trained on individual movie likes by users?,Segment your data according to user id and treat your entire test set like you would treat a new user on your system.
50,"What does `np.array([True, True, False]).mean()` return ?",0.6666...
51,What is overfitting?,When your test set accuracy is significantly lower than your training set accuracy.
52,What is a good package for doing topic analysis or natural language analytics?,The ldaviz package has good visualizations in addition to the Latent Dirichlet Allocation topic vector analysis.
53,How can I compete with big banks in time series forecasting of index funds?,"[""Pay attention to the social impact of your investments. Big banks are run by antisocial people that don't care about  the impact of global warming and social-responsibility. And they don't realize the magnitude of its affect on the markets and their investments."", 'Focus your model on predicting risk-adjusted long term performance of your investments. Make your target variable the value of assets at least 2 years into the future. Most investment bankers and funds focus on the near-term performance of their assets and rely on active trading to manage long term performance. So your model will be better than theirs for predicting long term performance and it will minimize the amount of trading fees you have to pay.']"
54,Should I use RandomForestRegressor or RandomForestClassifier for my 911 response time machine learning model?,What is the difference between a _classifier_ and a _regressor_?
55,What is a good exercise to get up to speed on Data Science?,Load a DataFrame of home prices and calculate some mean and average prices in various categories of homes.
56,When should I use lemmatization on a sentiment analysis or other NLP problem?,When it improves your test set performance metric like F1 score or accuracy.
57,I have a model that can predict the authorship of judicial ruling texts with 95% accuracy. What can I do with it?,You can examine the word frequencies that are most important to each judge's authorship prediction.
58,What are some good resources for learning how to program in python?,One of my favorites is `learnpython.org`.
59,What are some good resources for learning about object oriented programming and how to define classes in python?,"Try the section on ""Objects and Classes"" in [learnpython.org](https://www.learnpython.org/en/Classes_and_Objects)"
60,How can I implement a Kalman Filter in python?,The `pykalman` package implements both a linear kalman filter as well as a nonlinear unscented kalman filter.
61,When do I do `train_test_split()`?,After data cleaning and before spliting your columns into `X` and `y` to fit a model.
62,Where can I find 311 call logs for New York City?,The JSON REST API is located at [](https://data.cityofnewyork.us/resource/erm2-nwe9.json)
63,What kind of data science variable is a Amazon store star-rating for products like 5-stars and 2-stars?,"Ordinal, because it's a categorical variable with a natural order to it."
64,What is a CDG (clinical decision guidelines)?,An example is the _Schmitt-Thompson Nurse Triage Guidelines_ a manual for
65,What's a good way to sample a large CSV file for machine learning?,"Create a skip_rows list of integers that skips 99% of the rows. `skip_rows = np.random.sample(range(1, n + 1))`"
66,What is a CDG (clinical decision guidelines)?,An example is the _Schmitt-Thompson Nurse Triage Guidelines_ a manual for nurse triage decisions.
67,What do I need to create a natural language pipeline for sentiment analysis like predicting hate-speech?,You need a collection of texts labeled with whether or not each text represents hateful speech.
68,Can I use a collection of YouTube comments to build a sentiment analyzer?,Only if you have a numerical or categorical rating for the sentiment for each comment.
69,"How can I count the number of records for a particular group of data, like the `country` column in a pandas DataFrame?","`[(country, len(group)) for country, group df.groupby('country')]"
70,What is a CDF (Cumulative Distribution Function) used for?,To estimate the probability or confidence interval for a range of values.
71,How to reduce overfitting and improve test set accuracy for a LogisticRegression model?,"Decrease the C value, this increases the regularization strength."
