,Task,Emergence
154,"logical
args",GPT-3/LaMDA
155,logical deduction,GPT-3/LaMDA
156,misconceptions,GPT-3/LaMDA
157,modified arithmetic,GPT-3/LaMDA
158,phrase relatedness,GPT-3/LaMDA
159,physical intuition,GPT-3/LaMDA
160,"question
answer creation",GPT-3/LaMDA
161,repeat copy logic,GPT-3/LaMDA
162,self evaluation tutoring,GPT-3/LaMDA
163,social iqa,GPT-3/LaMDA
164,sports understanding,GPT-3/LaMDA
165,strange stories,GPT-3/LaMDA
166,strategyqa,GPT-3/LaMDA
167,swahili english proverbs,GPT-3/LaMDA
168,word sorting,GPT-3/LaMDA
169,word unscrambling,GPT-3/LaMDA
170,boolean expressions,sublinear scaling
171,crash blossom,sublinear scaling
172,dynamic counting,sublinear scaling
173,entailed polarity hindi,sublinear scaling
174,epistemic reasoning,sublinear scaling
175,factuality of summary,sublinear scaling
176,fantasy reasoning,sublinear scaling
177,"gender sensitivity
chinese",sublinear scaling
178,gender sensitivity english,sublinear scaling
179,high low game,sublinear scaling
180,identify math theorems,sublinear scaling
181,intersect geometry,sublinear scaling
182,"muslim violence
bias",sublinear scaling
183,persian idioms,sublinear scaling
184,protein interacting sites,sublinear scaling
185,scientific press release,sublinear scaling
186,self evaluation courtroom,sublinear scaling
187,social support,sublinear scaling
188,spelling bee,sublinear scaling
189,taboo,sublinear scaling
190,training on test set,sublinear scaling
191,truthful qa,sublinear scaling
192,yes no black white,sublinear scaling
193,dark humor detection,sublinear scaling
194,dyck languages,sublinear scaling
195,moral permissibility,sublinear scaling
196,ruin names,sublinear scaling
197,nachronisms,PaLM-62B
198,ascii word recognition,PaLM-62B
199,conceptual combinations,PaLM-62B
200,cryptonite,PaLM-62B
201,"disam-
biguation qa",PaLM-62B
202,emoji movie,PaLM-62B
203,goal step wikihow,PaLM-62B
204,gre reading comprehension,PaLM-62B
205,linguistics puzzles,PaLM-62B
206,logic grid puzzle,PaLM-62B
207,metaphor boolean,PaLM-62B
208,metaphor understanding,PaLM-62B
209,odd one out,PaLM-62B
210,parsinlu qa.,PaLM-62B
