ISO-639-1,ISO language name,639-1,639-2/T,639-2/B,639-3,Notes
hz,Herero,hz,her,her,her,
hi,Hindi,hi,hin,hin,hin,
ho,Hiri Motu,ho,hmo,hmo,hmo,
hu,Hungarian,hu,hun,hun,hun,
ia,Interlingua (International Auxiliary Language Association),ia,ina,ina,ina,constructed by the International Auxiliary Language Association
id,Indonesian,id,ind,ind,ind,"covered by macrolanguage ms/msa. Changed in 1989 from original ISO 639:1988, in.[1]"
ie,"Interlingue, Occidental",ie,ile,ile,ile,"constructed by Edgar de Wahl, first published in 1922"
ga,Irish,ga,gle,gle,gle,
ig,Igbo,ig,ibo,ibo,ibo,
ik,Inupiaq,ik,ipk,ipk,ipk + 2,macrolanguage
io,Ido,io,ido,ido,ido,"constructed by De Beaufront, 1907, as variation of Esperanto"
is,Icelandic,is,isl,ice,isl,
it,Italian,it,ita,ita,ita,
iu,Inuktitut,iu,iku,iku,iku + 2,macrolanguage
ja,Japanese,ja,jpn,jpn,jpn,
jv,Javanese,jv,jav,jav,jav,
kl,"Kalaallisut, Greenlandic",kl,kal,kal,kal,
kn,Kannada,kn,kan,kan,kan,
kr,Kanuri,kr,kau,kau,kau + 3,macrolanguage
ks,Kashmiri,ks,kas,kas,kas,
kk,Kazakh,kk,kaz,kaz,kaz,
km,Central Khmer,km,khm,khm,khm,also known as Khmer or Cambodian
ki,"Kikuyu, Gikuyu",ki,kik,kik,kik,
rw,Kinyarwanda,rw,kin,kin,kin,
ky,"Kirghiz, Kyrgyz",ky,kir,kir,kir,
kv,Komi,kv,kom,kom,kom + 2,macrolanguage
kg,Kongo,kg,kon,kon,kon + 3,macrolanguage
ko,Korean,ko,kor,kor,kor,
ku,Kurdish,ku,kur,kur,kur + 3,macrolanguage
kj,"Kuanyama, Kwanyama",kj,kua,kua,kua,
la,Latin,la,lat,lat,lat,ancient
lb,"Luxembourgish, Letzeburgesch",lb,ltz,ltz,ltz,
lg,Ganda,lg,lug,lug,lug,
li,"Limburgan, Limburger, Limburgish",li,lim,lim,lim,
ln,Lingala,ln,lin,lin,lin,
lo,Lao,lo,lao,lao,lao,
lt,Lithuanian,lt,lit,lit,lit,
lu,Luba-Katanga,lu,lub,lub,lub,also known as Luba-Shaba
lv,Latvian,lv,lav,lav,lav + 2,macrolanguage
gv,Manx,gv,glv,glv,glv,
mk,Macedonian,mk,mkd,mac,mkd,
mg,Malagasy,mg,mlg,mlg,mlg + 11,macrolanguage
ms,Malay,ms,msa,may,msa + 36,"macrolanguage, Standard Malay is zsm, Indonesian is id/ind"
ml,Malayalam,ml,mal,mal,mal,
mt,Maltese,mt,mlt,mlt,mlt,
mi,Maori,mi,mri,mao,mri,also known as Māori
mr,Marathi,mr,mar,mar,mar,also known as Marāṭhī
mh,Marshallese,mh,mah,mah,mah,
mn,Mongolian,mn,mon,mon,mon + 2,macrolanguage
na,Nauru,na,nau,nau,nau,also known as Nauruan
nv,"Navajo, Navaho",nv,nav,nav,nav,
nd,North Ndebele,nd,nde,nde,nde,also known as Northern Ndebele
ne,Nepali,ne,nep,nep,nep + 2,macrolanguage
ng,Ndonga,ng,ndo,ndo,ndo,
nb,Norwegian Bokmål,nb,nob,nob,nob,covered by macrolanguage no/nor
nn,Norwegian Nynorsk,nn,nno,nno,nno,covered by macrolanguage no/nor
no,Norwegian,no,nor,nor,nor + 2,"macrolanguage, Bokmål is nb/nob, Nynorsk is nn/nno"
ii,"Sichuan Yi, Nuosu",ii,iii,iii,iii,standard form of the Yi languages
nr,South Ndebele,nr,nbl,nbl,nbl,also known as Southern Ndebele
oc,Occitan,oc,oci,oci,oci,
oj,Ojibwa,oj,oji,oji,oji + 7,"macrolanguage, also known as Ojibwe"
cu,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",cu,chu,chu,chu,"ancient, in use by the Eastern Orthodox Church"
om,Oromo,om,orm,orm,orm + 4,macrolanguage
or,Oriya,or,ori,ori,ori + 2,"macrolanguage, also known as Odia"
os,"Ossetian, Ossetic",os,oss,oss,oss,
pa,"Punjabi, Panjabi",pa,pan,pan,pan,
pi,Pali,pi,pli,pli,pli,"ancient, also known as Pāli"
fa,Persian,fa,fas,per,fas + 2,"macrolanguage, also known as Farsi"
pl,Polish,pl,pol,pol,pol,
ps,"Pashto, Pushto",ps,pus,pus,pus + 3,macrolanguage
pt,Portuguese,pt,por,por,por,
qu,Quechua,qu,que,que,que + 43,macrolanguage
rm,Romansh,rm,roh,roh,roh,
rn,Rundi,rn,run,run,run,also known as Kirundi
ro,"Romanian, Moldavian, Moldovan",ro,ron,rum,ron,"the identifiers mo and mol for Moldavian are deprecated. They will not be assigned to different items, and recordings using these identifiers will not be invalid."
ru,Russian,ru,rus,rus,rus,
sa,Sanskrit,sa,san,san,san,ancient
sc,Sardinian,sc,srd,srd,srd + 4,macrolanguage
sd,Sindhi,sd,snd,snd,snd,
se,Northern Sami,se,sme,sme,sme,
sm,Samoan,sm,smo,smo,smo,
sg,Sango,sg,sag,sag,sag,
sr,Serbian,sr,srp,srp,srp,the ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2]
gd,"Gaelic, Scottish Gaelic",gd,gla,gla,gla,
sn,Shona,sn,sna,sna,sna,
si,"Sinhala, Sinhalese",si,sin,sin,sin,
sk,Slovak,sk,slk,slo,slk,
sl,Slovenian,sl,slv,slv,slv,also known as Slovene
so,Somali,so,som,som,som,
st,Southern Sotho,st,sot,sot,sot,
es,"Spanish, Castilian",es,spa,spa,spa,
su,Sundanese,su,sun,sun,sun,
sw,Swahili,sw,swa,swa,swa + 2,macrolanguage
ss,Swati,ss,ssw,ssw,ssw,also known as Swazi
sv,Swedish,sv,swe,swe,swe,
ta,Tamil,ta,tam,tam,tam,
te,Telugu,te,tel,tel,tel,
tg,Tajik,tg,tgk,tgk,tgk,
th,Thai,th,tha,tha,tha,
ti,Tigrinya,ti,tir,tir,tir,
bo,Tibetan,bo,bod,tib,bod,also known as Standard Tibetan
tk,Turkmen,tk,tuk,tuk,tuk,
tl,Tagalog,tl,tgl,tgl,tgl,note: Filipino (Pilipino) has the code fil
tn,Tswana,tn,tsn,tsn,tsn,
to,Tonga (Tonga Islands),to,ton,ton,ton,also known as Tongan
tr,Turkish,tr,tur,tur,tur,
ts,Tsonga,ts,tso,tso,tso,
tt,Tatar,tt,tat,tat,tat,
tw,Twi,tw,twi,twi,twi,covered by macrolanguage ak/aka
ty,Tahitian,ty,tah,tah,tah,one of the Reo Mā`ohi (languages of French Polynesia)[3]
ug,"Uighur, Uyghur",ug,uig,uig,uig,
uk,Ukrainian,uk,ukr,ukr,ukr,
ur,Urdu,ur,urd,urd,urd,
uz,Uzbek,uz,uzb,uzb,uzb + 2,macrolanguage
ve,Venda,ve,ven,ven,ven,
vi,Vietnamese,vi,vie,vie,vie,
vo,Volapük,vo,vol,vol,vol,constructed
wa,Walloon,wa,wln,wln,wln,
cy,Welsh,cy,cym,wel,cym,
wo,Wolof,wo,wol,wol,wol,
fy,Western Frisian,fy,fry,fry,fry,also known as Frisian
xh,Xhosa,xh,xho,xho,xho,
yi,Yiddish,yi,yid,yid,yid + 2,"macrolanguage. Changed in 1989 from original ISO 639:1988, ji.[1]"
yo,Yoruba,yo,yor,yor,yor,
za,"Zhuang, Chuang",za,zha,zha,zha + 16,macrolanguage
zu,Zulu,zu,zul,zul,zul,
